"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCNB1",2.05469028662777,3.08760149700091,9.5981140498154,4.2304760299788e-13,8.40553282396488e-11,19.6472076299172
"KIF18B",1.75726839649785,3.41103162677549,9.55093626526419,4.98992285117983e-13,9.77825733478245e-11,19.4854566827102
"EGR1",-2.59134938550023,7.28103847814342,-9.54923229146484,5.01979087094373e-13,9.77825733478245e-11,19.4796098744955
"LTB4R2",-2.29649872995375,7.22321260135636,-9.53097988521775,5.35126655791467e-13,1.03227490523502e-10,19.4169604797406
"C7orf63",-1.09163149617069,3.0334386235539,-9.52316696691481,5.49982238897855e-13,1.05073049083283e-10,19.390132155236
"TSHZ2",-1.7519050266866,3.51737003172054,-9.51217739816542,5.71584910866826e-13,1.08160196133457e-10,19.3523842444495
"CFD",-2.86481637597065,6.34814633924184,-9.50881293933575,5.78368208329804e-13,1.08411301238725e-10,19.3408250363781
"ADAM33",-2.85544518193768,4.23865738801231,-9.49696872028463,6.0290083940256e-13,1.119536147485e-10,19.3001221075494
"PLSCR4",-1.66543302000878,3.76490516406798,-9.48884391183064,6.20334034690375e-13,1.14124230882065e-10,19.2721920547263
"PAQR4",2.43078662545536,3.88511609710903,9.47650342241647,6.47790516921432e-13,1.17436913251811e-10,19.2297561462061
"CEP55",1.47364730675117,1.53328040180937,9.47546259550761,6.50161581242094e-13,1.17436913251811e-10,19.2261762318398
"H2AFX",1.64522328920177,4.72861207515482,9.47157737603193,6.59089926291271e-13,1.17977096806137e-10,19.2128120038713
"RHOJ",-2.01447536349311,3.59184256188684,-9.42197627614779,7.84561760743709e-13,1.39182657359078e-10,19.0420507767665
"GSTM2",-1.58317494737691,5.39710428202074,-9.41682014468234,7.9891569222871e-13,1.40474830875152e-10,19.0242844170426
"KIF2C",2.24279516096657,2.51271331106703,9.38555789434564,8.91798636678817e-13,1.55431115019047e-10,18.9165031299033
"HN1",2.11075483736142,5.39071426540019,9.38001512734158,9.09369286807814e-13,1.57115290083343e-10,18.8973825912334
"HJURP",1.72277034162668,2.59756611668432,9.35664077047608,9.87390674496334e-13,1.6912470096179e-10,18.8167131794783
"ADAMTS5",-1.38745591051331,2.27369923050569,-9.33368921869248,1.07057010099301e-12,1.8180476356094e-10,18.7374460023955
"ABCA6",-1.97445570844507,3.42748114288923,-9.32838519768355,1.09077705010369e-12,1.83666518716189e-10,18.719119648368
"SORBS1",-2.04562644685532,4.83863208976928,-9.31632782089551,1.13815522110225e-12,1.89248825647241e-10,18.6774480945021
"FREM1",-1.96052021973919,2.25777934061469,-9.31512859437871,1.14297946940807e-12,1.89248825647241e-10,18.6733025982435
"PGM5",-2.06394916862686,3.08536816177662,-9.31187398067042,1.15617629433356e-12,1.89851791670359e-10,18.6620512536763
"EXO1",1.81414675211532,1.92258479339035,9.30800181016556,1.1720774818983e-12,1.90885307277355e-10,18.648663525369
"DPT",-2.81264567305566,4.23272396854841,-9.29941769466381,1.2081192035608e-12,1.94985281154811e-10,18.618978954642
"ADAMTS15",-1.81936892002184,2.84856350808743,-9.29737029829794,1.2168793025918e-12,1.94985281154811e-10,18.6118977405329
"CXCL12",-1.78621572665283,6.38219799209383,-9.28553107504906,1.26880606691769e-12,1.99768061205915e-10,18.57094141279
"SLC22A3",-1.48725228845103,1.4571131851487,-9.28154373566152,1.28679284905241e-12,1.99768061205915e-10,18.5571443805091
"LPHN3",-2.12701138733007,1.70004795416365,-9.27988524331007,1.2943497630882e-12,1.99768061205915e-10,18.5514051557474
"TROAP",1.98745295176873,3.16171016331305,9.27915091725322,1.2977099929922e-12,1.99768061205915e-10,18.5488639227209
"GPC3",-1.86183371466818,2.32459613595498,-9.27759110731364,1.30487679666373e-12,1.99768061205915e-10,18.5434658047622
"SIGLEC5",-2.29914274568416,3.9247980528699,-9.27711904969084,1.30705359891131e-12,1.99768061205915e-10,18.5418320792036
"MAOA",-2.36235557636928,2.29206832122454,-9.27217224008695,1.3300862427887e-12,2.01736515709685e-10,18.5247104533875
"CLSTN2",-1.74407423837,2.25321071057714,-9.26709835268353,1.35413579372562e-12,2.03828212769199e-10,18.5071463244251
"CLN3",-1.33840975845172,10.7119933524013,-9.24758430056329,1.45078752592319e-12,2.16734566560661e-10,18.4395699756247
"CADM3",-1.96902082125864,2.33504431259348,-9.24397440590532,1.46941522099501e-12,2.17879186760819e-10,18.4270647009701
"CORO2B",-1.32009214557033,1.75431953456972,-9.23776435534078,1.50202617309130e-12,2.21064874319638e-10,18.4055488771037
"TPX2",2.31672008656301,2.41642994198278,9.23168668695047,1.53464839564104e-12,2.24205360095528e-10,18.3844878290501
"CTHRC1",2.5335569968916,4.98234320660306,9.21511988722887,1.62724544196967e-12,2.35998099901426e-10,18.3270591436774
"CACNA2D1",-1.32058804022682,2.91670574227318,-9.20821874847926,1.66746122440791e-12,2.40078167157687e-10,18.3031280139313
"AOC3",-2.18911270806397,4.08515835474212,-9.20481382051477,1.6876707658104e-12,2.41239787380481e-10,18.2913189076018
"ARHGAP10",-1.06098083933035,3.50473332750987,-9.18478096528082,1.81167491798197e-12,2.57115492467027e-10,18.2218159765967
"PTH1R",-1.59739446461171,2.06511300951444,-9.13810841144668,2.13741165309628e-12,2.95971784624537e-10,18.059728637045
"JAM2",-1.30018700170463,2.99480997599469,-9.1368512008802,2.14695898363977e-12,2.95971784624537e-10,18.0553594522227
"LGI4",-1.55155885149763,2.8132914335337,-9.13599083394632,2.15351742101673e-12,2.95971784624537e-10,18.0523693260867
"SLIT2",-1.6837740706678,3.11552239913591,-9.13515044471596,2.15994306560762e-12,2.95971784624537e-10,18.0494485582412
"PLAC9",-1.95597883499498,4.03123242626321,-9.12226079697312,2.26095426778978e-12,3.06472228126421e-10,18.0046417130356
"HSPB6",-2.9998580748182,4.9161209837999,-9.12145529485764,2.26742249406532e-12,3.06472228126421e-10,18.0018410787177
"AHNAK",-1.32499718357936,8.14620896494605,-9.11444201592542,2.32453349447685e-12,3.11695203574409e-10,17.9774539843674
"FAM110D",-1.36722364273886,2.00607907094577,-9.11288121274731,2.33743949532371e-12,3.11695203574409e-10,17.9720259696795
"FLAD1",1.03163087456801,4.9279381981041,9.09638753150097,2.47831692748028e-12,3.28277860214038e-10,17.9146508327833
"NLGN1",-1.45182403909303,1.14413626173592,-9.09113877895429,2.52491929387206e-12,3.32235903642013e-10,17.8963867319774
"COL10A1",2.23396135292353,3.83233336240073,9.08742675294539,2.5584096592478e-12,3.34427904734174e-10,17.883468319901
"KIFC1",2.22170479949455,3.26537715376499,9.07292433837495,2.69359990873667e-12,3.49798278344372e-10,17.8329845428196
"EBF1",-1.83057920283686,3.98794507581667,-9.06534329393071,2.76711200925771e-12,3.54932029129424e-10,17.806586138655
"GPR17",-1.46883846666696,2.76703655828295,-9.06456217444137,2.77480036033742e-12,3.54932029129424e-10,17.8038658318066
"MAZ",1.09617715471657,6.73133550374619,9.06335517751966,2.78672286195532e-12,3.54932029129424e-10,17.7996622559959
"CCL14",-2.49492076180254,3.67932921599695,-9.06042239657452,2.81590790621073e-12,3.56286021238673e-10,17.7894477363635
"HDGF",1.14456062970679,6.78870124685887,9.05869744149792,2.83321714005287e-12,3.56286021238673e-10,17.7834395292517
"ASF1B",2.18071008117237,2.86356648096427,9.02583342017512,3.18426499923333e-12,3.97912963960799e-10,17.6689144203896
"SCN4B",-1.50183748153221,2.26876406196381,-8.99858156613675,3.50840459127089e-12,4.35678067649758e-10,17.5738662954961
"HPSE2",-2.37614037558398,1.62112016598502,-8.99139936628777,3.59923605124375e-12,4.44181497528956e-10,17.5488044008005
"NDUFA7",-1.22463789952292,10.1835649840934,-8.96764276970332,3.91690621934958e-12,4.8040129427319e-10,17.4658714476752
"GDF10",-1.48856209373247,1.32136026192549,-8.96483841778234,3.95622368145021e-12,4.8224667685113e-10,17.4560780161405
"DNALI1",-1.65547187862694,2.373215008256,-8.95243016156273,4.13501716855579e-12,5.00967415378263e-10,17.4127365036018
"LIMA1",-1.25937671722311,5.06904469429319,-8.94596729968717,4.23134392023035e-12,5.07387540894809e-10,17.390156152195
"MTHFD2",1.73593514530266,4.84210925501517,8.94545453736557,4.23908258032806e-12,5.07387540894809e-10,17.3883644599155
"DCLK1",-1.56107676270248,3.26556419805708,-8.94325849484123,4.27238709167823e-12,5.08311731284759e-10,17.3806907715337
"ZNF223",-2.85844189363025,5.23304438803883,-8.93728063345131,4.36438704364579e-12,5.16166703394036e-10,17.3597998414189
"FN1",2.20329219539001,8.30801013426901,8.93516176215253,4.39747360483102e-12,5.17002384937204e-10,17.3523941686458
